Player,Elo,s,c_fixed,AE,Moves,IPR,INT,SLOPE,R2,AVG_ERR
"Svidler,P",2736.181818181818,0.06406673871742048,0.5301846478690535,0.035299843798925756,762,2753.069780471282,0.4680745436371712,-0.00015719714149931984,0.10512727004572908,0.011370957393333275
"Adams,Mi",2719.0,0.07527989879521774,0.5300838004248208,0.04828656350733399,277,2670.4555574355245,,,,
"Polgar,Ju",2735.0,0.1239104930408103,0.5301777112723602,0.0704704933550401,369,2529.333844686046,,,,
"Anand,V",2790.4242424242425,0.05591619887091559,0.5305030198711284,0.029702024953009568,906,2788.679962644603,,,,
"Leko,P",2755.5882352941176,0.05405579322474017,0.5302985524364734,0.028106564333637295,941,2798.8293877814413,,,,
"Topalov,V",2803.0,0.07686747431163488,0.5305768323744027,0.04200063391957092,1008,2710.443114001814,,,,
"Morozevich,A",2739.9032258064517,0.082360606897451,0.5302064904030578,0.0430986584498642,1057,2703.458098117807,,,,
"Kasimdzhanov,R",2670.0,0.11338245200694985,0.5297961984542314,0.06598251412429175,418,2557.883850035653,,,,
"Aronian,L",2750.0,0.03132034166540216,0.5302657526919284,0.014614885652403648,534,2884.6558764348115,,,,
"Grischuk,A",2726.0,0.04179490857455692,0.5301248864206193,0.020358403260345687,584,2848.1188404991617,,,,
"Gelfand,B",2733.0,0.03449864021120147,0.5301659724164178,0.01633128832405715,499,2873.737085830334,,,,
"Kramnik,V",2756.684210526316,0.0633362224342733,0.530304985184157,0.03360879026035227,1015,2763.827314116261,,,,
