Player,Elo,s,c,AEe_Benchmark,IPR,Moves
"Svidler,P",2736.5,0.11717001803342604,0.6291676244924046,0.05798412049440237,2607.583222900494,702
"Adams,Mi",2719.0,0.07520387031047879,0.4487174126632,0.06712219061695474,2549.6363162398256,433
"Polgar,Ju",2735.0,0.11283781041501466,0.5924412448789445,0.06130770686396694,2586.5074873728668,425
"Anand,V",2790.0,0.06456341135866403,0.4380052106623228,0.060205010309027376,2593.4999763215374,806
"Kasimdzhanov,R",2670.0,0.13942283761403368,0.5832289954280514,0.07798028362627868,2480.78229195615,447
"Morozevich,A",2732.5,0.10952887522621145,0.4967617290869274,0.08128420385299533,2459.8312646140253,1120
"Topalov,V",2801.3333333333335,0.06749231255919876,0.4598007244593032,0.05690850126747315,2614.4040073888364,1045
"Kramnik,V",2755.133333333333,0.06571453536422027,0.43916065200051385,0.06099475031711388,2588.4920271680453,916
"Aronian,L",2750.0,0.12419160866770101,0.6121055550251253,0.06435418379701983,2567.188975683203,379
"Gelfand,B",2733.0,0.03705875741791191,0.315760164741718,0.07983597035783355,2469.0148942033716,394
"Leko,P",2757.0,0.07417225738214321,0.43117317125421456,0.0723986856667056,2516.1766730063164,856
"Grischuk,A",2726.0,0.05388137426387628,0.3581890457512584,0.08140390858833262,2459.072185395722,441
AVERAGE,2742.1222222222223,,,0.06848162631317534,2541.0157768541994,7964
